GE_City,GE_Count,GE_latitude,GE_longitude,GE_n,GE_State,
"Cahors, France",1,44.4473991,1.4418401,CAHORS, France,
"Clermont Ferrand, France",1,45.7812004,3.1368799,CLERMONT FERRAND, France,
"Clichy, France",1,48.9045982,2.5545299,CLICHY, France,
"La Rochelle, France",1,46.1540985,-1.19252,LA ROCHELLE, France,
"Montauban, France",1,44.0172997,1.35211,MONTAUBAN, France,
"Paris, France",2,48.8569298,2.3412001,PARIS, France,
"Villejuif, France",1,48.7885017,2.3634501,VILLEJUIF, France,
"Berlin, Germany",1,52.5014076,13.4023285,BERLIN, Germany,
"Hrakleio, Greece",1,35.3292999,25.1240997,HRAKLEIO, Greece,
"Vari, Greece",1,37.8354988,23.8183994,VARI, Greece,
"Veszprem, Hungary",1,47.1208496,17.9503708,VESZPREM, Hungary,
"Hyderabad, India",3,17.4114094,78.4847794,HYDERABAD, India,13
"Surat, India",1,21.1849899,72.8358994,SURAT, India,
"Cochin, India",1,9.93606,76.2614517,COCHIN, India,
"Ernakulam, India",1,9.9692497,76.2889786,ERNAKULAM, India,
"Trivandrum, India",1,8.5051098,76.9514084,TRIVANDRUM, India,
"Indore, India",1,22.6882191,76.0266113,INDORE, India,
"Jabalpur, India",1,23.09589,80.0495834,JABALPUR, India,
"Mumbai, India",1,18.93013,72.8300934,MUMBAI, India,
"Chennai, India",1,13.0503302,80.188591,CHENNAI, India,
"Thanjavur, India",1,10.7207098,79.1390533,THANJAVUR, India,
"Noida, India",1,28.5351791,77.3862381,NOIDA, India,
"Bekasi, Indonesia",1,-6.2255058,106.9730682,BEKASI, Indonesia,5
"Jakarta, Indonesia",1,-6.1714902,106.8275223,JAKARTA, Indonesia,
"Surabaya, Indonesia",3,-7.2432561,112.7413788,Surabaya, Indonesia,
"Adria, Italy",1,41.8567085,16.6969719,ADRIA, Italy,
"Bologna, Italy",1,44.4970016,11.3182001,BOLOGNA, Italy,
"Rome, Italy",1,41.9030495,12.4958,Rome, Italy,
"Amakusa, Japan",1,32.3667679,130.1030121,Amakusa, Japan,44
"Asahikawa, Japan",2,43.7711792,142.3688202,Asahikawa, Japan,
"Chiyoda, Japan",1,35.6422997,139.7486572,CHIYODA, Japan,
"Edogawa, Japan",1,35.6916389,139.8899841,EDOGAWA, Japan,
"Habikino, Japan",1,34.55373,135.6173706,HABIKINO, Japan,
"Hachioji, Japan",1,35.6610489,139.3341675,Hachioji, Japan,
"Hamamatsu, Japan",1,34.7194328,137.7301025,HAMAMATSU, Japan,
"Hiranai, Japan",1,40.9166794,140.9639282,Hiranai, Japan,
"Hirosaki, Japan",1,40.5979729,140.4764862,HIROSAKI, Japan,
"Hiroshima, Japan",2,34.3838806,132.447937,HIROSHIMA, Japan,
"Hiyuuga, Japan",1,32.4284096,131.6552124,Hiyuuga, Japan,
"Fuchu, Japan",1,35.6670265,139.4833374,Fuchu, Japan,
"Fujisawa, Japan",1,35.3401299,139.4935455,Fujisawa, Japan,
"Fujiyoshida, Japan",1,35.4856377,138.8053741,Fujiyoshida, Japan,
"Ichikawa, Japan",1,35.7195625,139.9333954,Ichikawa, Japan,
"Ichinoseki, Japan",1,38.9240646,141.1363678,Ichinoseki, Japan,
"Itabashi, Japan",1,35.7686501,139.6712494,ITABASHI, Japan,
"Iwamizawa, Japan",1,43.1982765,141.7635803,IWAMIZAWA, Japan,
"Kirishima, Japan",1,31.8199997,130.8300018,KIRISHIMA, Japan,
"Izumi, Japan",1,34.4785652,135.4254761,Izumi, Japan,
"Koto, Japan",1,35.6677094,139.8200989,Koto, Japan,
"Kumamoto, Japan",3,32.788517,130.7148895,KUMAMOTO, Japan,
"Kyoto, Japan",1,35.3231506,135.4155884,Kyoto, Japan,
"Matsumoto, Japan",1,36.2324486,137.9669647,Matsumoto, Japan,
"Matsuyama, Japan",1,33.8381042,132.7719116,Matsuyama, Japan,
"Minamiaizu-Gun, Japan",1,37.1857986,139.5160065,Minamiaizu-Gun, Japan,
"Nagoya, Japan",1,33.5063019,129.9112396,NAGOYA, Japan,
"Naruto, Japan",1,34.1818275,134.6033783,NARUTO, Japan,
"Nobeoka, Japan",1,32.5714455,131.6772156,NOBEOKA, Japan,
"Osaka, Japan",1,34.6775208,135.5129089,Osaka, Japan,
"Sabae, Japan",1,35.9500008,136.1925354,SABAE, Japan,
"Sapporo, Japan",1,43.0552521,141.3454742,Sapporo, Japan,
"Sakado, Japan",1,35.9569016,139.3890076,Sakado, Japan,
"Gonohe, Japan",1,40.5654182,141.2707672,Gonohe, Japan,
"Takamatsu, Japan",2,34.3355217,134.047699,TAKAMATSU, Japan,
"Takasaki, Japan",1,36.3262215,139.0143585,TAKASAKI, Japan,
"Togane, Japan",1,35.5499992,140.3670044,Togane, Japan,
"Tsu, Japan",1,34.7191086,136.5168304,Tsu, Japan,
"Yatsushiro, Japan",1,32.5068359,130.6065063,YATSUSHIRO, Japan,
"Luxembourg, Luxembourg",1,49.5998993,6.1177201,LUXEMBOURG, Luxembourg,
"Kathmandu, Nepal",1,27.6933002,85.3225021,KATHMANDU, Nepal,
"Al, Norway",1,60.737,8.4126,Al, Norway,
"Karachi, Pakistan",1,24.9267101,67.0343704,KARACHI, Pakistan,
"Zamboanga, Philippines",1,7.1034999,122.1957474,Zamboanga, Philippines,
"Lublin, Poland",1,51.2533989,22.5515995,LUBLIN, Poland,
"Warsaw, Poland",1,52.2287483,21.0062504,WARSAW, Poland,
"Lisbon, Portugal",1,38.7169991,-9.1386404,LISBON, Portugal,
"Santarem, Portugal",1,39.2193985,-8.6955099,SANTAREM, Portugal,
"Novokuznetsk, Russian Federation",1,53.7577209,87.1192398,NOVOKUZNETSK, Russian Federation,
"Vladivostok, Russian Federation",1,43.1157188,131.8857574,VLADIVOSTOK, Russian Federation,
"Riyadh, Saudi Arabia",1,24.6472893,46.7146797,RIYADH, Saudi Arabia,
"Assagay, South Africa",1,-29.7708874,30.7328396,ASSAGAY, South Africa,
"Gwangju, South Korea",1,35.1529388,126.9051514,GWANGJU, South Korea,
"Fuenlabrada, Spain",1,40.2888985,-3.7932,FUENLABRADA, Spain,
"Sant Cugat Del Valles, Spain",1,41.4729996,2.08234,SANT CUGAT DEL VALLES, Spain,
"Bangkok, Thailand",1,13.7533503,100.5048294,BANGKOK, Thailand,
"Ratburi, Thailand",1,13.5371103,99.8143997,Ratburi, Thailand,
"Samutprakarn, Thailand",3,13.5959339,100.7088013,Samutprakarn, Thailand,
"Ankara, Turkey",2,39.9429016,32.8605003,ANKARA, Turkey,
"Agri, Turkey",1,39.7208214,43.0506897,AGRI, Turkey,
"Tooting, United Kingdom",1,51.4302406,-0.1657,TOOTING, United Kingdom,
"Hanoi, Vietnam",3,21.0288906,105.8546371,Hanoi,,
"Ho Chi Min City, Vietnam",2,10.7782297,106.70327,Ho Chi Min City,,
"Andalusia,  AL",1,31.3195896,-86.4954224,,,
"Bessemer,  AL",1,33.4015388,-86.9544067,,,
"Birmingham,  AL",4,33.5206795,-86.8117599,,,
"Huntsville,  AL",2,34.7291298,-86.5849762,,,
"Mobile,  AL",3,30.6863899,-88.0532379,,,
"Tuscaloosa,  AL",1,33.2104912,-87.5659332,,,
"Tuskegee,  AL",1,32.4240494,-85.6897812,,,
"Winfield,  AL",1,33.9285812,-87.8165512,,,
"Fort Smith,  AR",1,35.3846016,-94.4213028,,,
"Harrison,  AR",1,36.2286186,-93.1105194,,,
"Fort Mohave,  AZ",1,35.0201912,-114.5979919,,,
"Green Valley,  AZ",1,31.8814697,-110.9952316,,,
"Kayenta,  AZ",1,36.7244492,-110.2564697,,,
"Lake Havasu City,  AZ",1,34.4739799,-114.3458633,,,
"Luke Air Force Base,  AZ",2,33.5344009,-112.3622284,,,
"Phoenix,  AZ",2,33.4482498,-112.075798,,,
"Scottsdale,  AZ",1,33.4939995,-111.9206924,,,
"Chico,  CA",1,39.7319984,-121.84198,,,
"Crescent City,  CA",1,41.7528114,-124.2004623,,,
"Folsom,  CA",1,38.6817513,-121.1628265,,,
"Huntington Park,  CA",1,33.9813995,-118.2191391,,,
"Irvine,  CA",1,33.6872406,-117.8258209,,,
"La Jolla,  CA",1,32.8370476,-117.2553864,,,
"Isabella Lake,  CA",1,35.6697159,-118.4238052,,,
"Lone Pine,  CA",1,36.6045189,-118.0628128,,,
"Los Banos,  CA",1,37.0613899,-120.8475571,,,
"Moreno Valley,  CA",1,33.9165802,-117.2611313,,,
"Oakland,  CA",2,37.8050804,-122.2730713,,,
"Ridgecrest,  CA",1,35.6224785,-117.6688614,,,
"San Diego,  CA",3,32.7156906,-117.1617203,,,
"San Francisco,  CA",1,37.7771187,-122.4196396,,,
"San Jose,  CA",2,37.3385811,-121.8855667,,,
"San Luis Obispo,  CA",1,35.2855186,-120.6625214,,,
"San Mateo,  CA",1,37.5470314,-122.314827,,,
"Sherman Oaks,  CA",1,34.1503868,-118.4418106,,,
"Thousand Oaks,  CA",1,34.18536,-118.8927765,,,
"Woodland Hills,  CA",1,34.1661758,-118.6048813,,,
"Arvada,  CO",1,39.8020287,-105.0878372,,,
"Aurora,  CO",1,39.7093201,-104.8145828,,,
"Broomfield,  CO",1,39.9208603,-105.0705795,,,
"Cheyenne Wells,  CO",1,38.819519,-102.3480835,,,
"Colorado Springs,  CO",1,38.8334312,-104.8218079,,,
"Denver,  CO",1,39.7400093,-104.9923019,,,
"Golden,  CO",1,39.756649,-105.2249527,,,
"Gunnison,  CO",1,38.5449791,-106.926918,,,
"Lakewood,  CO",1,39.7109184,-105.0820694,,,
"Lone Tree Park,  CO",2,37.3992004,-107.3130035,,,
"Louisville,  CO",1,39.9772911,-105.1321182,,,
"Parker,  CO",1,39.5180397,-104.7543564,,,
"Westminster,  CO",1,39.8833122,-105.0619049,,,
"Avon,  CT",1,41.8108788,-72.8296509,,,
"Farmington,  CT",1,41.7121201,-72.8385696,,,
"New Haven,  CT",1,41.307621,-72.9246216,,,
"Shelton,  CT",1,41.3226013,-73.1091003,,,
"Trumbull,  CT",1,41.234951,-73.2196732,,,
"Washington,  DC",1,38.8903694,-77.0319595,,,
"Dover,  DE",1,39.1580315,-75.5247269,,,
"Lewes,  DE",1,38.7804298,-75.1307983,,,
"Rehoboth Beach,  DE",1,38.71558,-75.0817795,,,
"Seaford,  DE",1,38.6437416,-75.6090469,,,
"Aventura,  FL",1,25.9686108,-80.1446381,,,
"Davie,  FL",1,26.06567,-80.2349472,,,
"Hollywood,  FL",2,26.0104103,-80.16008,,,
"Jacksonville,  FL",3,30.3314705,-81.6562195,,,
"Lake City,  FL",1,30.1903591,-82.6371231,,,
"Lakeland,  FL",1,28.0441895,-81.9478607,,,
"Lakeland,  FL",1,28.0441895,-81.9478607,,,
"Miami,  FL",1,25.7748108,-80.197731,,,
"Ocala,  FL",3,29.1875191,-82.1403885,,,
"Pembroke Pines,  FL",1,26.00811,-80.2801132,,,
"Pensacola,  FL",1,30.4208393,-87.2172394,,,
"Port St Lucie,  FL",2,27.2741795,-80.3633118,,,
"St Petersburg,  FL",1,27.7711906,-82.6387634,,,
"Trinity,  FL",1,28.1797791,-82.6812134,,,
"Augusta,  GA",1,33.4790916,-81.9753113,,,
"Claxton,  GA",1,32.1612892,-81.9045105,,,
"Fitzgerald,  GA",1,31.7149696,-83.2522583,,,
"Hinesville,  GA",1,31.8510494,-81.583847,,,
"Waynesboro,  GA",1,33.0897713,-82.0163116,,,
"Hilo,  HI",1,19.7192402,-155.0818481,,,
"Algona,  IA",1,43.0688705,-94.2274933,,,
"Bloomfield,  IA",1,40.7501297,-92.4136505,,,
"Greenfield,  IA",1,41.3031693,-94.460289,,,
"Guttenberg,  IA",1,42.7857285,-91.1017227,,,
"Jefferson,  IA",1,42.0157509,-94.3774338,,,
"Marshalltown,  IA",1,42.0497704,-92.90802,,,
"Idaho Falls,  ID",1,43.4920006,-112.0419922,,,
"Rexburg,  ID",1,43.8260689,-111.7830887,,,
"Bourbonnais,  IL",1,41.1542587,-87.877861,,,
"Frankfort,  IL",1,41.4975586,-87.8616867,,,
"Harrisburg,  IL",1,37.7383614,-88.5401611,,,
"Kewanee,  IL",1,41.2472,-89.9248505,,,
"Lombard,  IL",1,41.8675613,-88.0110779,,,
"N McLeansboro St,  Benton",1,38.0058212,-88.9097137,,,
"New Lenox,  IL",1,41.5121117,-87.9688721,,,
"Peoria,  IL",2,40.6921387,-89.5877609,,,
"Sterling,  IL",1,41.7940407,-89.698822,,,
"Anderson,  IN",1,40.1021614,-85.678688,,,
"Brazil,  IN",1,39.5251694,-87.1186981,,,
"Frankfort,  IN",1,40.2821312,-86.5107193,,,
"Lawrenceburg,  IN",2,39.0924606,-84.8517914,,,
"Terre Haute,  IN",1,39.4664917,-87.4132309,,,
"Warsaw,  IN",1,41.2385597,-85.8527985,,,
"Hoxie,  KS",1,39.3533211,-100.4419403,,,
"Liberal,  KS",1,37.0323792,-100.925209,,,
"Manhattan,  KS",1,39.1788101,-96.5618362,,,
"Overland Park,  KS",2,38.98489,-94.6716766,,,
"Ulysses,  KS",1,37.5770607,-101.3633575,,,
"Wichita,  KS",3,37.6869812,-97.3355789,,,
"Benton,  KY",1,36.8575096,-88.3507614,,,
"Bowling Green,  KY",2,36.9946213,-86.4455795,,,
"Frankfort,  KY",1,38.1950684,-84.8786926,,,
"Paducah,  KY",1,37.0857086,-88.5958481,,,
"Winchester,  KY",1,37.9928017,-84.1792297,,,
"Alexandria,  LA",2,31.3126602,-92.4456787,,,
"Baton Rouge,  LA",1,30.4433403,-91.1869888,,,
"Jonesboro,  LA",1,32.2436295,-92.7116699,,,
"Lafayette,  LA",1,30.2203197,-92.0170517,,,
"New Iberia,  LA",1,30.0051308,-91.8175888,,,
"Thibodaux,  LA",1,29.7955208,-90.8225327,,,
"Beverly,  MA",1,42.5477409,-70.8789825,,,
"Boston,  MA",1,42.3586617,-71.0567398,,,
"Great Barrington,  MA",1,42.1961517,-73.3610916,,,
"Hyannis,  MA",1,41.654789,-70.2796326,,,
"Marlborough,  MA",1,42.3468018,-71.5479889,,,
"Salem,  MA",1,42.5223999,-70.895813,,,
"Easton,  MD",2,38.7738991,-76.0747528,,,
"Prince Frederick,  MD",1,38.5398216,-76.584198,,,
"Rockville,  MD",1,39.0816612,-77.1512375,,,
"Towson,  MD",1,39.3999405,-76.6053619,,,
"Damariscotta,  ME",1,44.0321083,-69.5299988,,,
"Portland,  ME",1,43.6591415,-70.2566528,,,
"Adrian,  MI",1,41.8972511,-84.0362473,,,
"Detroit,  MI",1,42.3316803,-83.0479965,,,
"Eaton Rapids,  MI",2,42.5114288,-84.6558304,,,
"Holland,  MI",1,42.7730904,-86.1017609,,,
"Rochester,  MI",1,42.6834183,-83.1370163,,,
"Saginaw,  MI",1,43.4191818,-83.9466705,,,
"Troy,  MI",1,42.5623703,-83.1544876,,,
"Warren,  MI",1,42.5111084,-83.0285187,,,
"Hendricks,  MN",1,44.5065689,-96.4243011,,,
"Morris,  MN",1,45.5864296,-95.9144516,,,
"Willmar,  MN",1,45.1218987,-95.0432968,,,
"Kansas City,  MO",1,39.102951,-94.5830765,,,
"Maryville,  MO",1,40.3474503,-94.8729095,,,
"Salem,  MO",1,37.6367683,-91.5356293,,,
"St Louis,  MO",1,38.6277504,-90.1995621,,,
"Wentzville,  MO",1,38.8115387,-90.8539505,,,
"West Plains,  MO",1,36.7311211,-91.8530731,,,
"Clarksdale,  MS",1,34.1945686,-90.5649185,,,
"Hazlehurst,  MS",1,31.8597393,-90.3940125,,,
"Jackson,  MS",1,32.2986908,-90.1804886,,,
"Tupelo,  MS",1,34.2574081,-88.7078323,,,
"Cut Bank,  MT",1,48.4944,-112.2340012,,,
"Great Falls,  MT",1,47.5071411,-111.3060684,,,
"Missoula,  MT",1,46.8727798,-113.9962311,,,
"Plains,  MT",1,47.4598312,-114.8828506,,,
"Asheville,  NC",1,35.5984612,-82.5531387,,,
"Camp Lejeune,  NC",1,34.7257004,-77.3440933,,,
"Charlotte,  NC",2,35.2228584,-80.8379593,,,
"Columbus, ",1,34.2654305,-78.6550827,,,
"Durham,  NC",2,35.9954185,-78.8964386,,,
"Fayetteville,  NC",2,35.0544891,-78.8775787,,,
"Hendersonville,  NC",1,35.3155708,-82.4586563,,,
"Kernersville,  NC",1,36.1195183,-80.0725098,,,
"Kings Mountain,  NC",2,35.242691,-81.3457336,,,
"Marion,  NC",1,35.6843109,-82.0083771,,,
"Mount Airy,  NC",1,36.4990501,-80.6068802,,,
"Raeford,  NC",1,34.9785881,-79.2240295,,,
"Raleigh,  NC",2,35.785511,-78.6426697,,,
"Spruce Pine,  NC",1,35.9169807,-82.072731,,,
"Tarboro,  NC",1,35.9069519,-77.5407562,,,
"Waxhaw,  NC",1,34.9247589,-80.7431793,,,
"Wilmington,  NC",1,34.2349701,-77.9459915,,,
"Falls City,  NE",1,40.0587616,-95.6011505,,,
"Franklin,  NE",1,40.0960808,-98.9542313,,,
"Gordon,  NE",1,42.8141708,-102.2031708,,,
"Sidney,  NE",1,41.1448593,-102.9761429,,,
"New London,  NH",1,43.4240913,-72.0034103,,,
"Portsmouth,  NH",1,43.0706215,-70.7721176,,,
"Belleville,  NJ",1,40.7951508,-74.1493988,,,
"Freehold,  NJ",2,40.2585297,-74.2765121,,,
"Hamilton Township,  NJ",1,40.2303581,-74.7238617,,,
"Lakewood,  NJ",1,40.0932503,-74.2135773,,,
"Long Branch,  NJ",1,40.3037605,-73.9933701,,,
"Morristown,  NJ",1,40.7930107,-74.4771271,,,
"Mt Holly Township,  NJ",1,39.9929695,-74.7883987,,,
"Newton,  NJ",1,41.0585594,-74.7531891,,,
"Rahway,  NJ",2,40.6043396,-74.2743607,,,
"Somerville,  NJ",1,40.5707016,-74.6193924,,,
"Toms River,  NJ",1,39.9528809,-74.1937866,,,
"Voorhees,  NJ",2,39.8549995,-74.9837723,,,
"Los Alamos,  NM",1,35.8806381,-106.30439,,,
"Santa Fe,  NM",1,35.6916809,-105.9379578,,,
"Shiprock,  NM",1,36.7853699,-108.6834106,,,
"Reno,  NV",1,39.5273819,-119.8134384,,,
"Albany,  NY",1,42.6515503,-73.7552109,,,
"Amsterdam,  NY",1,42.9670105,-74.1922226,,,
"Armonk,  NY",1,41.1194115,-73.7083817,,,
"Buffalo,  NY",2,42.8854408,-78.8784637,,,
"Commack,  NY",2,40.8471298,-73.2914429,,,
"Forest Hills,  NY",1,40.7152443,-73.8451767,,,
"Greenlawn,  NY",1,40.8606987,-73.3644409,,,
"Hampton Bays,  NY",1,40.8729401,-72.5200272,,,
"Long Island City,  NY",1,40.7623672,-73.9244385,,,
"Manorville,  NY",1,40.872879,-72.8057404,,,
"New York,  NY",1,40.7820015,-73.8317032,,,
"Nyack,  NY",2,41.0912704,-73.9181595,,,
"Olean,  NY",1,42.0979118,-78.3958435,,,
"Queens,  NY",1,40.7140007,-73.8299866,,,
"Riverhead,  NY",2,40.9183006,-72.6685104,,,
"Rochester,  NY",1,43.1557999,-77.6163177,,,
"Southampton,  NY",1,40.8880081,-72.3850708,,,
"Staten Island,  NY",1,40.6424408,-74.0752792,,,
"Stony Brook,  NY",1,40.9128304,-73.1399231,,,
"Boardman,  OH",1,41.0243607,-80.6597824,,,
"Cambridge,  OH",1,40.0247803,-81.5901108,,,
"Columbus,  OH",1,39.9619904,-83.0027466,,,
"Defiance,  OH",1,41.2862396,-84.362381,,,
"Fostoria,  OH",1,41.1556816,-83.4123535,,,
"Kenton,  OH",1,40.6478119,-83.6079712,,,
"Maumee,  OH",2,41.5633507,-83.6541672,,,
"Napoleon,  OH",1,41.3919907,-84.1258392,,,
"Oregon,  OH",1,41.6524506,-83.4227905,,,
"Pickerington,  OH",1,39.8840408,-82.7534332,,,
"Springfield,  OH",2,39.9250183,-83.8067322,,,
"Sylvania,  OH",1,41.7155685,-83.7042465,,,
"Toledo,  OH",3,41.6538086,-83.5362625,,,
"Troy,  OH",1,40.0398903,-84.2039032,,,
"Warren,  OH",1,41.2361984,-80.8127975,,,
"Altus,  OK",1,34.6378288,-99.3332596,,,
"Edmond,  OK",1,35.6548996,-97.4781265,,,
"Moore,  OK",1,35.3382607,-97.485611,,,
"Oklahoma City,  OK",2,35.4720306,-97.5210724,,,
"Gresham,  OR",1,45.506279,-122.4353409,,,
"Klamath Falls,  OR",2,42.2238808,-121.7820587,,,
"Newberg,  OR",1,45.3003006,-122.9753571,,,
"Oregon City,  OR",1,45.3365097,-122.5927811,,,
"Portland,  OR",1,45.5117912,-122.6756287,,,
"Roseburg,  OR",2,43.2108803,-123.3432312,,,
"The Dalles,  OR",1,45.6015511,-121.1834335,,,
"Annville,  PA",1,40.3299713,-76.5175095,,,
"Beaver, ",1,40.6821518,-80.349411,,,
"Brookville,  PA",1,41.1604996,-79.0801773,,,
"Coatesville,  PA",1,39.9819412,-75.8206329,,,
"Erie,  PA",1,42.1294403,-80.0852432,,,
"Greensburg,  PA",1,40.2992401,-79.5431595,,,
"Lewistown,  PA",1,40.5968895,-77.5739365,,,
"McKees Rd,  Port Trevorton",1,40.662958,-76.92579,,,
"North Huntingdon Township,  PA",1,40.3298912,-79.730751,,,
"Philadelphia,  PA",2,39.9522781,-75.1624527,,,
"Sewickley,  PA",1,40.5381088,-80.180191,,,
"West Grove,  PA",2,39.8221588,-75.826683,,,
"Anderson,  SC",1,34.5004387,-82.6495819,,,
"Gaffney,  SC",2,35.0736198,-81.6486588,,,
"Moncks Corner,  SC",1,33.1964912,-80.0126877,,,
"Spartanburg,  SC",1,34.9482498,-81.9348679,,,
"Madison,  SD",1,44.0072098,-97.1103897,,,
"Chattanooga,  TN",1,35.0464401,-85.3094635,,,
"Clarksville,  TN",1,36.5307503,-87.3597717,,,
"Dickson,  TN",2,36.0764389,-87.387413,,,
"East Ridge,  TN",2,34.9967117,-85.2437668,,,
"Gallatin,  TN",1,36.3878212,-86.4462204,,,
"The Hermitage,  TN",1,36.2151604,-86.6082458,,,
"Knoxville,  TN",1,35.9604912,-83.9209137,,,
"McKenzie,  TN",1,36.1379509,-88.5095139,,,
"Nashville,  TN",4,36.1678391,-86.7781601,,,
"Smyrna,  TN",1,35.974659,-86.5121307,,,
"Alice,  TX",1,27.7505798,-98.065712,,,
"Austin,  TX",1,30.2675896,-97.7429886,,,
"Beaumont,  TX",1,30.0861492,-94.1015778,,,
"Beeville,  TX",1,28.4020405,-97.7493591,,,
"Big Lake,  TX",1,31.1921902,-101.4673004,,,
"Bryan,  TX",1,30.6709805,-96.3704224,,,
"Burleson,  TX",1,32.5631104,-97.3218231,,,
"Carrollton,  TX",1,32.987999,-96.9005737,,,
"Cleburne,  TX",1,32.3503914,-97.3876038,,,
"Corpus Christi,  TX",1,27.7964096,-97.4035568,,,
"Cypress,  TX",1,29.97579,-95.6779175,,,
"Dallas,  TX",1,32.7781487,-96.7954025,,,
"El Paso,  TX",3,31.7591591,-106.4874878,,,
"Fort Worth,  TX",1,32.7509499,-97.3308563,,,
"Granbury,  TX",1,32.4423485,-97.7942581,,,
"Hondo,  TX",1,29.3475609,-99.1411133,,,
"Houston,  TX",5,29.7604504,-95.3697815,,,
"Kaufman, ",1,32.5995598,-96.2878571,,,
"Kingsville,  TX",1,27.5157299,-97.8554306,,,
"Leander,  TX",1,30.5791206,-97.8530426,,,
"Lewisville,  TX",1,33.0472183,-96.9959335,,,
"Luling,  TX",1,29.6804409,-97.6468506,,,
"McAllen,  TX",1,26.2074203,-98.2293625,,,
"Nacogdoches,  TX",1,31.6035805,-94.6556168,,,
"Nocona,  TX",1,33.7864685,-97.7274704,,,
"Pearland,  TX",1,29.55093,-95.2568665,,,
"Plano,  TX",3,33.0207901,-96.6992493,,,
"San Antonio,  TX",3,29.4245796,-98.4946136,,,
"Spring,  TX",2,30.0845299,-95.4192886,,,
"Texas City,  TX",1,29.3927593,-94.9250717,,,
"The Woodlands,  TX",1,30.1575203,-95.4557724,,,
"Webster,  TX",1,29.5333595,-95.1191406,,,
"Layton,  UT",1,41.0659294,-111.9610214,,,
"Roosevelt,  UT",1,40.2967491,-109.9895706,,,
"Salt Lake City,  UT",1,40.7603111,-111.8882217,,,
"University of Texas at Austin,  TX",1,30.2786598,-97.731102,,,
"Chesterfield, ",1,37.3785019,-77.585907,,,
