GE_City	GE_Count	latitude	longitude	name	desc	color	source	precision		
"Mount Airy,  NC"	1	36.4990501	-80.6068802	MOUNT AIRY	 NC	Mount Airy	 NC		Bing Maps	city/town
"Raeford,  NC"	1	34.9785881	-79.2240295	RAEFORD	 NC	Raeford	 NC		Bing Maps	city/town
"Raleigh,  NC"	2	35.785511	-78.6426697	RALEIGH	 NC	Raleigh	 NC		Bing Maps	city/town
"Spruce Pine,  NC"	1	35.9169807	-82.072731	SPRUCE PINE	 NC	Spruce Pine	 NC		Bing Maps	city/town
"Tarboro,  NC"	1	35.9069519	-77.5407562	TARBORO	 NC	Tarboro	 NC		Bing Maps	city/town
"Waxhaw,  NC"	1	34.9247589	-80.7431793	WAXHAW	 NC	Waxhaw	 NC		Bing Maps	city/town
"Wilmington,  NC"	1	34.2349701	-77.9459915	WILMINGTON	 NC	Wilmington	 NC		Bing Maps	city/town
"Falls City,  NE"	1	40.0587616	-95.6011505	FALLS CITY	 NE	Falls City	 NE		Bing Maps	city/town
"Franklin,  NE"	1	40.0960808	-98.9542313	FRANKLIN	 NE	Franklin	 NE		Bing Maps	city/town
"Gordon,  NE"	1	42.8141708	-102.2031708	GORDON	 NE	Gordon	 NE		Bing Maps	city/town
"Sidney,  NE"	1	41.1448593	-102.9761429	SIDNEY	 NE	Sidney	 NE		Bing Maps	city/town
"New London,  NH"	1	43.4240913	-72.0034103	NEW LONDON	 NH	New London	 NH		Bing Maps	city/town
"Portsmouth,  NH"	1	43.0706215	-70.7721176	PORTSMOUTH	 NH	Portsmouth	 NH		Bing Maps	city/town
"Belleville,  NJ"	1	40.7951508	-74.1493988	BELLEVILLE	 NJ	Belleville	 NJ		Bing Maps	city/town
"Freehold,  NJ"	2	40.2585297	-74.2765121	FREEHOLD	 NJ	Freehold	 NJ		Bing Maps	city/town
"Hamilton Township,  NJ"	1	40.2303581	-74.7238617	HAMILTON	 NJ	Hamilton Township	 NJ		Bing Maps	city/town
"Lakewood,  NJ"	1	40.0932503	-74.2135773	LAKEWOOD	 NJ	Lakewood	 NJ		Bing Maps	city/town
"Long Branch,  NJ"	1	40.3037605	-73.9933701	LONG BRANCH	 NJ	Long Branch	 NJ		Bing Maps	city/town
"Morristown,  NJ"	1	40.7930107	-74.4771271	MORRISTOWN	 NJ	Morristown	 NJ		Bing Maps	city/town
"Mt Holly Township,  NJ"	1	39.9929695	-74.7883987	MOUNT HOLLY	 NJ	Mt Holly Township	 NJ		Bing Maps	city/town
"Newton,  NJ"	1	41.0585594	-74.7531891	NEWTON	 NJ	Newton	 NJ		Bing Maps	city/town
"Rahway,  NJ"	2	40.6043396	-74.2743607	RAHWAY	 NJ	Rahway	 NJ		Bing Maps	city/town
"Somerville,  NJ"	1	40.5707016	-74.6193924	SOMERVILLE	 NJ	Somerville	 NJ		Bing Maps	city/town
"Toms River,  NJ"	1	39.9528809	-74.1937866	TOMS RIVER	 NJ	Toms River	 NJ		Bing Maps	city/town
"Voorhees,  NJ"	2	39.8549995	-74.9837723	VOORHEES	 NJ	Voorhees	 NJ		Bing Maps	city/town
"Los Alamos,  NM"	1	35.8806381	-106.30439	LOS ALAMOS	 NM	Los Alamos	 NM		Bing Maps	city/town
"Santa Fe,  NM"	1	35.6916809	-105.9379578	SANTA FE	 NM	Santa Fe	 NM		Bing Maps	city/town
"Shiprock,  NM"	1	36.7853699	-108.6834106	SHIPROCK	 NM	Shiprock	 NM		Bing Maps	city/town
"Reno,  NV"	1	39.5273819	-119.8134384	RENO	 NV	Reno	 NV		Bing Maps	city/town
"Albany,  NY"	1	42.6515503	-73.7552109	ALBANY	 NY	Albany	 NY		Bing Maps	city/town
"Amsterdam,  NY"	1	42.9670105	-74.1922226	AMSTERDAM	 NY	Amsterdam	 NY		Bing Maps	city/town
"Armonk,  NY"	1	41.1194115	-73.7083817	ARMONK	 NY	Armonk	 NY		Bing Maps	city/town
"Buffalo,  NY"	2	42.8854408	-78.8784637	BUFFALO	 NY	Buffalo	 NY		Bing Maps	city/town
"Commack,  NY"	2	40.8471298	-73.2914429	COMMACK	 NY	Commack	 NY		Bing Maps	city/town
"Forest Hills,  NY"	1	40.7152443	-73.8451767	FOREST HILLS	 NY	Forest Hills	 NY		Bing Maps	Neighborhood
"Greenlawn,  NY"	1	40.8606987	-73.3644409	GREENLAWN	 NY	Greenlawn	 NY		Bing Maps	city/town
"Hampton Bays,  NY"	1	40.8729401	-72.5200272	HAMPTON BAYS	 NY	Hampton Bays	 NY		Bing Maps	city/town
"Long Island City,  NY"	1	40.7623672	-73.9244385	LONG ISLAND CITY	 NY	Long Island City	 NY		Bing Maps	Neighborhood
"Manorville,  NY"	1	40.872879	-72.8057404	MANORVILLE	 NY	Manorville	 NY		Bing Maps	city/town
"New York,  NY"	1	40.7820015	-73.8317032	NEW YORK	 NY	New York	 NY		Bing Maps	city/town
"Nyack,  NY"	2	41.0912704	-73.9181595	NYACK	 NY	Nyack	 NY		Bing Maps	city/town
"Olean,  NY"	1	42.0979118	-78.3958435	OLEAN	 NY	Olean	 NY		Bing Maps	city/town
"Queens,  NY"	1	40.7140007	-73.8299866	QUEENS	 NY	Queens	 NY		Bing Maps	city/town
"Riverhead,  NY"	2	40.9183006	-72.6685104	RIVERHEAD	 NY	Riverhead	 NY		Bing Maps	city/town
"Rochester,  NY"	1	43.1557999	-77.6163177	ROCHESTER	 NY	Rochester	 NY		Bing Maps	city/town
"Southampton,  NY"	1	40.8880081	-72.3850708	SOUTHAMPTON	 NY	Southampton	 NY		Bing Maps	city/town
"Staten Island,  NY"	1	40.6424408	-74.0752792	STATEN ISLAND	 NY	Staten Island	 NY		Bing Maps	city/town
"Stony Brook,  NY"	1	40.9128304	-73.1399231	STONY BROOK	 NY	Stony Brook	 NY		Bing Maps	city/town
"Boardman,  OH"	1	41.0243607	-80.6597824	BOARDMAN	 OH	Boardman	 OH		Bing Maps	city/town
"Cambridge,  OH"	1	40.0247803	-81.5901108	CAMBRIDGE	 OH	Cambridge	 OH		Bing Maps	city/town
"Columbus,  OH"	1	39.9619904	-83.0027466	COLUMBUS	 OH	Columbus	 OH		Bing Maps	city/town
"Defiance,  OH"	1	41.2862396	-84.362381	DEFIANCE	 OH	Defiance	 OH		Bing Maps	city/town
"Fostoria,  OH"	1	41.1556816	-83.4123535	FOSTORIA	 OH	Fostoria	 OH		Bing Maps	city/town
"Kenton,  OH"	1	40.6478119	-83.6079712	KENTON	 OH	Kenton	 OH		Bing Maps	city/town
"Maumee,  OH"	2	41.5633507	-83.6541672	MAUMEE	 OH	Maumee	 OH		Bing Maps	city/town
"Napoleon,  OH"	1	41.3919907	-84.1258392	NAPOLEON	 OH	Napoleon	 OH		Bing Maps	city/town
"Oregon,  OH"	1	41.6524506	-83.4227905	OREGON	 OH	Oregon	 OH		Bing Maps	city/town
"Pickerington,  OH"	1	39.8840408	-82.7534332	PICKERINGTON	 OH	Pickerington	 OH		Bing Maps	city/town
"Springfield,  OH"	2	39.9250183	-83.8067322	SPRINGFIELD	 OH	Springfield	 OH		Bing Maps	city/town
"Sylvania,  OH"	1	41.7155685	-83.7042465	SYLVANIA	 OH	Sylvania	 OH		Bing Maps	city/town
"Toledo,  OH"	3	41.6538086	-83.5362625	TOLEDO	 OH	Toledo	 OH		Bing Maps	city/town
"Troy,  OH"	1	40.0398903	-84.2039032	TROY	 OH	Troy	 OH		Bing Maps	city/town
"Warren,  OH"	1	41.2361984	-80.8127975	WARREN	 OH	Warren	 OH		Bing Maps	city/town
"Altus,  OK"	1	34.6378288	-99.3332596	ALTUS	 OK	Altus	 OK		Bing Maps	city/town
